InterviewerID,ApplicantID,InterviewDate,Location,Result
1,520,5/6/2025,Frankfurt,Acc
1,1552,6/29/2025,Sydney,REJ
1,2485,5/9/2025,Dubai,REJ
1,3018,7/8/2025,Frankfurt,REJ
1,9910,11/6/2024,Cairo,REJ
1,11912,7/10/2025,Online,Acc
1,20878,11/11/2025,Berlin,Acc
1,22181,11/6/2025,London,Acc
1,22522,7/19/2025,Kyoto,Acc
1,23088,7/30/2025,Tokyo,Acc
1,30404,6/15/2025,Hamburg,REJ
1,30556,9/17/2025,New York,Acc
1,36116,7/16/2024,Muscat,Acc
1,39904,5/10/2025,Adelaide,Acc
1,41174,7/3/2025,Osaka,REJ
1,41628,4/25/2025,Shanghai,Acc
1,42866,7/8/2025,Manchester,REJ
1,52152,10/2/2025,Baghdad,Acc
1,52384,7/10/2025,Cairo,Acc
1,52608,7/3/2025,Chicago,Acc
1,53534,2/23/2025,Sapporo,Acc
1,65287,7/20/2025,Amman,REJ
1,66197,5/3/2025,Beijing,REJ
1,67353,8/7/2025,New York,REJ
1,71007,8/22/2025,Kuwait City,REJ
1,73069,8/4/2025,Beirut,REJ
1,74086,4/22/2025,Sydney,REJ
1,76221,8/16/2025,Beijing,REJ
1,79053,9/3/2025,Baghdad,Acc
1,81921,8/11/2025,Alexandria,Acc
1,83408,7/16/2025,London,REJ
1,83827,8/5/2025,Frankfurt,REJ
1,86673,8/30/2025,Sydney,REJ
1,89836,6/21/2025,Houston,REJ
1,90698,7/21/2025,Nagoya,REJ
1,95606,9/29/2025,Los Angeles,REJ
1,100782,6/7/2025,Liverpool,REJ
1,102500,9/17/2025,Online,REJ
1,103570,6/14/2025,Nagoya,Acc
1,104946,9/21/2025,Berlin,REJ
1,106936,8/3/2025,Munich,Acc
1,111162,9/24/2025,Lyon,REJ
1,112450,7/27/2025,Miami,Acc
1,114592,9/2/2025,Berlin,Acc
1,116419,7/13/2025,Frankfurt,Acc
1,116674,8/13/2025,Online,Acc
1,120245,7/12/2025,Adelaide,Acc
1,125035,5/14/2025,New York,Acc
1,126573,8/15/2025,Baghdad,REJ
1,133102,9/21/2025,Munich,Acc
1,134300,9/21/2025,Sapporo,REJ
1,135212,8/24/2025,Marseille,REJ
1,140352,6/23/2025,Alexandria,REJ
1,141290,9/8/2025,Online,REJ
1,144163,8/17/2025,Munich,REJ
1,146334,8/4/2025,New York,Acc
1,147715,6/10/2025,Doha,REJ
1,148580,6/21/2025,Marseille,Acc
1,148705,6/23/2025,Riyadh,REJ
1,151860,7/6/2025,Shanghai,REJ
1,155795,8/25/2025,Hamburg,REJ
1,155989,6/20/2025,Abu Dhabi,REJ
1,164430,6/27/2025,Shanghai,Acc
1,164668,9/2/2025,Sydney,REJ
1,165223,7/21/2025,Hangzhou,Acc
1,168322,8/20/2025,Los Angeles,REJ
1,169250,6/24/2025,Edinburgh,Acc
1,170413,9/20/2025,Hangzhou,REJ
1,170443,6/4/2025,Nagoya,REJ
1,183566,7/20/2025,Birmingham,REJ
1,189526,7/29/2025,Miami,REJ
1,192788,8/5/2025,Beijing,REJ
1,193940,5/28/2025,Shanghai,REJ
1,196584,6/5/2025,Houston,Acc
1,198154,9/20/2025,Beijing,REJ
2,4841,5/13/2025,Dubai,Acc
2,6301,6/9/2025,Cologne,REJ
2,7878,5/11/2025,New York,REJ
2,8391,5/15/2024,Manchester,REJ
2,13072,5/11/2025,Cologne,Acc
2,16383,6/3/2025,Melbourne,Acc
2,16954,5/28/2025,Liverpool,REJ
2,20474,8/20/2025,Perth,REJ
2,22707,7/15/2025,Toulouse,Acc
2,25793,6/11/2025,Toulouse,REJ
2,26346,7/24/2025,Abu Dhabi,REJ
2,26490,5/3/2025,Abu Dhabi,REJ
2,26843,5/9/2025,Amman,REJ
2,27312,6/26/2025,Riyadh,REJ
2,27667,5/7/2025,Manchester,REJ
2,28617,5/8/2025,Beirut,REJ
2,33646,6/1/2025,Melbourne,REJ
2,43678,8/26/2025,Muscat,Acc
2,43806,2/21/2025,Chicago,Acc
2,44038,9/22/2025,Birmingham,Acc
2,47383,7/1/2025,Sapporo,Acc
2,49583,9/26/2025,Beirut,Acc
2,50648,9/11/2025,Miami,Acc
2,52834,6/30/2025,Paris,Acc
2,54019,8/25/2025,London,REJ
2,56283,9/1/2025,Dubai,Acc
2,57063,6/15/2025,Guangzhou,REJ
2,59253,10/9/2025,Shenzhen,REJ
2,61262,7/24/2025,Hangzhou,Acc
2,61947,11/18/2025,Tokyo,Acc
2,62125,11/1/2025,Online,Acc
2,62576,10/3/2025,Berlin,REJ
2,62604,11/30/2025,Berlin,REJ
2,62841,8/24/2025,Brisbane,Acc
2,64405,6/6/2025,Lyon,REJ
2,68869,7/25/2025,Amman,REJ
2,70488,8/6/2025,Lyon,REJ
2,71821,8/5/2025,Toulouse,REJ
2,72981,10/28/2025,Kyoto,Acc
2,74037,8/13/2025,Houston,Acc
2,76684,5/13/2025,Osaka,REJ
2,80544,6/23/2025,Tokyo,REJ
2,86877,9/13/2025,Dubai,Acc
