PaymentID,ApplicationID,ApplicationDate,TuitionPay,AccommodationPay,LivingExpensePay,ServiceFee,PaymentMethod
1,140115,9/28/2024 0:00,15500,3000,1000,1000,Credit Card
2,7,1/1/2024 0:00,10250,1500,1500,500,Credit Card
3,14,3/25/2024 0:00,0,0,0,500,Credit Card
4,15,4/16/2025 0:00,0,1000,0,1000,Bank Transfer
5,16,3/24/2025 0:00,0,6600,1500,500,Cash
6,140129,3/8/2025 0:00,0,750,1500,500,Cash
7,26,8/28/2025 0:00,21500,0,1500,500,Bank Transfer
8,140137,10/27/2024 0:00,10000,430,700,500,Bank Transfer
9,140138,5/16/2025 0:00,0,0,0,1000,Credit Card
10,29,7/24/2023 0:00,0,1020,0,1000,Bank Transfer
11,31,12/9/2024 0:00,0,1500,1500,500,Bank Transfer
12,140142,3/18/2025 0:00,0,1,1,500,Bank Transfer
13,33,8/21/2025 0:00,0,1000,0,500,Cash
14,36,8/9/2025 0:00,0,0,0,1000,Bank Transfer
15,37,7/10/2024 0:00,16000,900,1000,1000,Cash
16,140148,1/24/2025 0:00,0,0,0,1000,Cash
17,40,3/15/2024 0:00,0,0,0,500,Cash
18,42,3/10/2024 0:00,0,0,1000,500,Cash
19,48,1/21/2024 0:00,0,4800,1500,1000,Cash
20,140158,3/5/2025 0:00,13000,4500,1000,500,Credit Card
21,50,5/2/2025 0:00,0,650,1000,500,Credit Card
22,140162,3/26/2025 0:00,0,0,0,1000,Cash
23,140163,8/12/2024 0:00,9000,1500,1000,1000,Bank Transfer
24,140164,8/29/2025 0:00,13000,1000,1000,1000,Cash
25,140167,9/28/2024 0:00,0,0,0,500,Bank Transfer
26,58,5/8/2025 0:00,11000,7200,2000,500,Credit Card
27,140169,1/21/2024 0:00,0,0,0,500,Credit Card
28,60,6/6/2025 0:00,3000,6600,2000,500,Bank Transfer
29,140170,5/27/2025 0:00,7000,1750,1000,500,Cash
30,61,6/10/2025 0:00,0,2250,2000,1000,Bank Transfer
31,64,7/1/2025 0:00,0,0,0,500,Bank Transfer
32,71,6/10/2025 0:00,15000,400,1000,500,Cash
33,140181,12/25/2024 0:00,0,900,1000,1000,Credit Card
34,140185,1/14/2025 0:00,30000,400,1000,1000,Credit Card
35,78,5/5/2025 0:00,0,0,0,1000,Cash
36,81,10/1/2024 0:00,0,1350,2000,500,Credit Card
37,140191,9/2/2024 0:00,0,0,0,500,Credit Card
38,140192,12/22/2024 0:00,30000,400,1000,500,Credit Card
39,86,5/9/2024 0:00,0,1020,0,1000,Bank Transfer
40,140193,8/4/2025 0:00,0,3500,1500,500,Credit Card
41,87,5/20/2024 0:00,0,8000,1000,1000,Cash
42,140195,3/17/2025 0:00,15000,400,1000,1000,Cash
43,90,5/20/2025 0:00,0,0,2000,1000,Bank Transfer
44,92,5/25/2024 0:00,0,4500,1000,1000,Cash
45,95,6/27/2025 0:00,20800,600,2000,500,Cash
46,140206,6/25/2025 0:00,0,4500,1000,500,Bank Transfer
47,105,7/26/2024 0:00,0,0,2000,1000,Cash
48,140212,3/13/2024 0:00,20000,6000,1000,1000,Cash
49,107,8/10/2025 0:00,0,0,0,500,Bank Transfer
50,140214,8/25/2025 0:00,24000,11200,2000,500,Bank Transfer
51,109,1/1/2024 0:00,6000,1400,1000,1000,Credit Card
52,140221,6/19/2024 0:00,0,1800,1000,1000,Cash
53,140222,5/27/2024 0:00,0,400,1000,500,Bank Transfer
54,118,8/14/2023 0:00,20000,625,1000,500,Cash
55,140223,2/24/2024 0:00,11000,860,700,1000,Credit Card
56,140225,9/23/2025 0:00,0,1600,1000,500,Cash
57,124,9/3/2025 0:00,1600,1500,2200,1000,Cash
58,140229,9/1/2025 0:00,0,8000,1500,1000,Credit Card
59,126,3/22/2024 0:00,12500,1500,1500,1000,Bank Transfer
60,127,3/28/2024 0:00,0,750,1000,1000,Bank Transfer
61,128,4/26/2025 0:00,0,6600,1500,500,Credit Card
62,130,11/30/2024 0:00,0,1000,1000,500,Credit Card
63,135,4/29/2025 0:00,10250,1500,1500,500,Credit Card
64,140241,2/18/2025 0:00,0,20000,1000,500,Cash
65,137,12/9/2024 0:00,8200,1000,1500,1000,Credit Card
66,140242,9/17/2025 0:00,0,13000,1000,500,Credit Card
67,139,7/30/2024 0:00,0,4500,1000,500,Credit Card
68,140,9/19/2024 0:00,0,0,1000,500,Bank Transfer
69,140244,7/27/2025 0:00,11500,1500,1500,500,Credit Card
70,140248,6/6/2024 0:00,0,7200,0,1000,Credit Card
